validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1,0,6.1,3.7,0,0,0,0,79,5.01000031363219e-05,5.01000031363219e-05,56.63011289999122,58.63295540001127,58.63295540001127,59.26723120000679,59.26723120000679,59.785595499997726,45,315,59.785595499997726,59.785595499997726,59.785595499997726,59.785595499997726,59.785595499997726,59.785595499997726,59.785595499997726,59.785595499997726,59.785595499997726,60.13452910000342,60.13452910000342,60.13452910000342,60.13452910000342,60.13452910000342,60.13452910000342,60.13452910000342,60.13452910000342,60.13452910000342,11,3,"[0.03492299999925308, 0.18411470000864938, 0.3006902000051923]","[0.066647900006501, 0.2341430000087712, 0.36757309999666177]",60.13452910000342,60.33491639999556,6.1,60.33491639999556,1,6.1,1,1,1000,num_4,0.7747945000010077,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1000,1,4.9,6.1,1,0,1,1,4,,,,,61.13572389999172,61.78634699998656,61.78634699998656,62.270637500012526,45,45,62.270637500012526,62.270637500012526,62.270637500012526,62.270637500012526,62.270637500012526,62.270637500012526,62.270637500012526,62.270637500012526,62.270637500012526,62.637150499998825,62.637150499998825,62.637150499998825,62.637150499998825,62.637150499998825,62.637150499998825,62.637150499998825,62.637150499998825,62.637150499998825,19,1,[0.31719269999302924],[0.36719479999737814],62.637150499998825,62.84220250000362,1000,62.84220250000362,1000,1000,1000,1000,0,num_3,1.676243499998236,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
0,0,0.0,6.1,1,0,2,2,84,,,,,64.53916570000001,65.18974639999215,65.18974639999215,65.6908143000037,45,315,65.6908143000037,65.6908143000037,65.6908143000037,65.6908143000037,65.6908143000037,65.6908143000037,65.6908143000037,65.6908143000037,65.6908143000037,66.05729580001207,66.05729580001207,66.05729580001207,66.05729580001207,66.05729580001207,66.05729580001207,66.05729580001207,66.05729580001207,66.05729580001207,23,0,,,66.05729580001207,66.2574794999964,0.0,66.2574794999964,0,0.0,0,1,1000,num_1,0.8693235000246204,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1000,1,0.0,3.7,1,0,3,3,86,,,,,67.1584378000116,67.8090773000149,67.8090773000149,68.29341360001126,45,45,68.29341360001126,68.29341360001126,68.29341360001126,68.29341360001126,68.29341360001126,68.29341360001126,68.29341360001126,68.29341360001126,68.29341360001126,68.65987329999916,68.65987329999916,68.65987329999916,68.65987329999916,68.65987329999916,68.65987329999916,68.65987329999916,68.65987329999916,68.65987329999916,0,1,[0.0012285000120755285],[0.3670722999959253],68.65987329999916,68.86189090000698,1000,68.86189090000698,1000,1000,1000,1000,1,num_2,0.5674589000118431,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1000,1,0.0,0.0,1,0,4,4,78,,,,,69.46078779999516,70.11135849999846,70.11135849999846,70.61245929999859,315,45,70.61245929999859,70.61245929999859,70.61245929999859,70.61245929999859,70.61245929999859,70.61245929999859,70.61245929999859,70.61245929999859,70.61245929999859,70.97891730000265,70.97891730000265,70.97891730000265,70.97891730000265,70.97891730000265,70.97891730000265,70.97891730000265,70.97891730000265,70.97891730000265,18,1,[0.06689960000221618],[0.15042540000285953],70.97891730000265,71.18113899999298,1000,71.18113899999298,1000,1000,1000,1000,0,num_3,0.6411292999982834,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1000,1,4.9,6.1,0,0,5,5,35,,,,,71.84634829999413,72.49701910000294,72.49701910000294,72.99822209999547,315,45,72.99822209999547,72.99822209999547,72.99822209999547,72.99822209999547,72.99822209999547,72.99822209999547,72.99822209999547,72.99822209999547,72.99822209999547,73.34779329999583,73.34779329999583,73.34779329999583,73.34779329999583,73.34779329999583,73.34779329999583,73.34779329999583,73.34779329999583,73.34779329999583,0,1,[0.0012343999987933785],[0.35045900000841357],73.34779329999583,73.54974019998917,1000,73.54974019998917,1000,1000,1000,1000,0,num_3,0.8482755000295583,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1000,1,0.0,0.0,1,0,6,6,27,,,,,74.41537160001462,75.06626290001441,75.06626290001441,75.56744630000321,45,315,75.56744630000321,75.56744630000321,75.56744630000321,75.56744630000321,75.56744630000321,75.56744630000321,75.56744630000321,75.56744630000321,75.56744630000321,75.93384760001209,75.93384760001209,75.93384760001209,75.93384760001209,75.93384760001209,75.93384760001209,75.93384760001209,75.93384760001209,75.93384760001209,22,1,[0.35010300000431016],[0.3670935000118334],75.93384760001209,76.13584130001254,1000,76.13584130001254,1000,1000,1000,1000,0,num_3,1.1424487000040244,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1,0,0.0,6.1,1,0,7,7,17,,,,,77.30175909999525,77.95223070000065,77.95223070000065,78.45354200000293,315,315,78.45354200000293,78.45354200000293,78.45354200000293,78.45354200000293,78.45354200000293,78.45354200000293,78.45354200000293,78.45354200000293,78.45354200000293,78.8033279000083,78.8033279000083,78.8033279000083,78.8033279000083,78.8033279000083,78.8033279000083,78.8033279000083,78.8033279000083,78.8033279000083,0,1,[0.0012008000048808753],[0.35071190001326613],78.8033279000083,79.00342880000244,6.1,79.02019569999538,1,6.1,1,1,1000,num_4,0.7773286000010557,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1000,1,4.9,6.1,0,0,8,8,49,,,,,79.82091129999026,80.47164810000686,80.47164810000686,80.95616309999605,45,45,80.95616309999605,80.95616309999605,80.95616309999605,80.95616309999605,80.95616309999605,80.95616309999605,80.95616309999605,80.95616309999605,80.95616309999605,81.32255179999629,81.32255179999629,81.32255179999629,81.32255179999629,81.32255179999629,81.32255179999629,81.32255179999629,81.32255179999629,81.32255179999629,22,1,[0.0013194000057410449],[0.01751720000174828],81.32255179999629,81.52479620001395,1000,81.52479620001395,1000,1000,1000,1000,1,num_2,0.7057642999861855,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
1,0,6.1,0.0,1,0,9,9,29,,,,,82.25672060000943,82.90739119998761,82.90739119998761,83.40861539999605,315,315,83.40861539999605,83.40861539999605,83.40861539999605,83.40861539999605,83.40861539999605,83.40861539999605,83.40861539999605,83.40861539999605,83.40861539999605,83.77490429999307,83.77490429999307,83.77490429999307,83.77490429999307,83.77490429999307,83.77490429999307,83.77490429999307,83.77490429999307,83.77490429999307,23,0,,,83.77490429999307,83.97522089999984,0.0,83.97522089999984,0,0.0,0,1,1000,num_1,0.7022264000261202,,20,6,2026-03-02_15h55.38.722,2026A_exp2,2022.2.4,59.806859725610536,
