validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1000,1,3.7,0.0,1,0,0,0,78,0.00013079994823783636,0.00013079994823783636,49.44989129999885,51.45444459997816,51.45444459997816,52.08683729998302,52.08683729998302,52.60701819998212,45,45,52.60701819998212,52.60701819998212,52.60701819998212,52.60701819998212,52.60701819998212,52.60701819998212,52.60701819998212,52.60701819998212,52.60701819998212,52.95294990000548,52.95294990000548,52.95294990000548,52.95294990000548,52.95294990000548,52.95294990000548,52.95294990000548,52.95294990000548,52.95294990000548,0,1,[0.0009623999940231442],[0.3668370000086725],52.95294990000548,53.15351989999181,1000,53.15351989999181,1000,1000,1000,1000,0,num_3,0.7036246000207029,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
1,0,0.0,0.0,1,0,1,1,59,,,,,53.88725859997794,54.53790719999233,54.53790719999233,55.02214369998546,45,315,55.02214369998546,55.02214369998546,55.02214369998546,55.02214369998546,55.02214369998546,55.02214369998546,55.02214369998546,55.02214369998546,55.02214369998546,55.38864229997853,55.38864229997853,55.38864229997853,55.38864229997853,55.38864229997853,55.38864229997853,55.38864229997853,55.38864229997853,55.38864229997853,0,1,[0.0008200000156648457],[0.3674812000244856],55.38864229997853,55.5888002999709,0.0,55.5888002999709,0,0.0,0,1,1000,num_1,0.8600298000383191,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
0,0,4.9,0.0,1,0,2,2,26,,,,,56.47330439998768,57.12397159996908,57.12397159996908,57.60815039998852,45,45,57.60815039998852,57.60815039998852,57.60815039998852,57.60815039998852,57.60815039998852,57.60815039998852,57.60815039998852,57.60815039998852,57.60815039998852,57.97447610000381,57.97447610000381,57.97447610000381,57.97447610000381,57.97447610000381,57.97447610000381,57.97447610000381,57.97447610000381,57.97447610000381,0,1,[0.0009512000251561403],[0.3670101999887265],57.97447610000381,58.17485000001034,4.9,58.17485000001034,1,4.9,1,1,1000,num_4,1.3619329999783076,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
0,0,3.7,3.7,1,0,3,3,62,,,,,59.559525099990424,60.21038479998242,60.21038479998242,60.69456909998553,45,45,60.69456909998553,60.69456909998553,60.69456909998553,60.69456909998553,60.69456909998553,60.69456909998553,60.69456909998553,60.69456909998553,60.69456909998553,61.061174599977676,61.061174599977676,61.061174599977676,61.061174599977676,61.061174599977676,61.061174599977676,61.061174599977676,61.061174599977676,61.061174599977676,10,2,"[0.0007612999761477113, 0.1840976999956183]","[0.15066320000914857, 0.2506087999790907]",61.061174599977676,61.26103910000529,3.7,61.26103910000529,0,3.7,1,0,1000,num_1,1.1967268000007607,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
1,0,0.0,4.9,1,0,4,4,73,,,,,62.479181199974846,63.112976100004744,63.112976100004744,63.6146035999991,45,315,63.6146035999991,63.6146035999991,63.6146035999991,63.6146035999991,63.6146035999991,63.6146035999991,63.6146035999991,63.6146035999991,63.6146035999991,63.980813700007275,63.980813700007275,63.980813700007275,63.980813700007275,63.980813700007275,63.980813700007275,63.980813700007275,63.980813700007275,63.980813700007275,15,3,"[0.0010094000026583672, 0.10061610001139343, 0.2832075000042096]","[0.08363110001664609, 0.133780799980741, 0.2998638999997638]",63.980813700007275,64.18119749997277,4.9,64.18119749997277,1,4.9,1,1,1000,num_4,0.7001857999712229,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
1000,1,0.0,4.9,1,0,5,5,72,,,,,64.8983528999961,65.53184790001251,65.53184790001251,66.03429109998979,45,45,66.03429109998979,66.03429109998979,66.03429109998979,66.03429109998979,66.03429109998979,66.03429109998979,66.03429109998979,66.03429109998979,66.03429109998979,66.39937249996001,66.39937249996001,66.39937249996001,66.39937249996001,66.39937249996001,66.39937249996001,66.39937249996001,66.39937249996001,66.39937249996001,13,4,"[0.01777029997901991, 0.08423249999759719, 0.15067160001490265, 0.2663662999984808]","[0.06692569999722764, 0.09998160001123324, 0.1840360999922268, 0.3330143999774009]",66.39937249996001,66.60010529996362,1000,66.60010529996362,1000,1000,1000,1000,1,num_2,0.8009284000145271,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
1,0,6.1,3.7,1,0,6,6,16,,,,,67.4173785999883,68.06778109999141,68.06778109999141,68.55270389997168,315,45,68.55270389997168,68.55270389997168,68.55270389997168,68.55270389997168,68.55270389997168,68.55270389997168,68.55270389997168,68.55270389997168,68.55270389997168,68.91904429998249,68.91904429998249,68.91904429998249,68.91904429998249,68.91904429998249,68.91904429998249,68.91904429998249,68.91904429998249,68.91904429998249,0,1,[0.0009011999936774373],[0.3669851999729872],68.91904429998249,69.11910079995869,3.7,69.11910079995869,1,3.7,1,1,1000,num_4,0.8981600000406615,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
1,0,0.0,0.0,0,0,7,7,39,,,,,70.03655229997821,70.67082979995757,70.67082979995757,71.17167289997451,315,315,71.17167289997451,71.17167289997451,71.17167289997451,71.17167289997451,71.17167289997451,71.17167289997451,71.17167289997451,71.17167289997451,71.17167289997451,71.5383227999555,71.5383227999555,71.5383227999555,71.5383227999555,71.5383227999555,71.5383227999555,71.5383227999555,71.5383227999555,71.5383227999555,17,6,"[0.0010936000035144389, 0.03347229998325929, 0.06668430002173409, 0.10011539998231456, 0.1337614000076428, 0.21696679998422042]","[0.017470200022216886, 0.050162100000306964, 0.08396040002116933, 0.1172305999789387, 0.15029530000174418, 0.23383629997260869]",71.5383227999555,71.73846299998695,0.0,71.73846299998695,0,0.0,0,1,1000,num_1,0.7188832000247203,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
1000,1,4.9,0.0,1,0,8,8,84,,,,,72.48877239995636,73.12329959997442,73.12329959997442,73.62429639999755,315,315,73.62429639999755,73.62429639999755,73.62429639999755,73.62429639999755,73.62429639999755,73.62429639999755,73.62429639999755,73.62429639999755,73.62429639999755,73.99080869997852,73.99080869997852,73.99080869997852,73.99080869997852,73.99080869997852,73.99080869997852,73.99080869997852,73.99080869997852,73.99080869997852,0,1,[0.0007316999835893512],[0.36750449996907264],73.99080869997852,74.19082640000852,1000,74.19082640000852,1000,1000,1000,1000,0,num_3,0.6507665999815799,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
1,0,4.9,0.0,0,0,9,9,47,,,,,74.85842790000606,75.49213979998603,75.49213979998603,75.99334619997535,315,45,75.99334619997535,75.99334619997535,75.99334619997535,75.99334619997535,75.99334619997535,75.99334619997535,75.99334619997535,75.99334619997535,75.99334619997535,76.35980340000242,76.35980340000242,76.35980340000242,76.35980340000242,76.35980340000242,76.35980340000242,76.35980340000242,76.35980340000242,76.35980340000242,0,1,[0.000750600011087954],[0.3672618999844417],76.35980340000242,76.55990349996137,4.9,76.55990349996137,1,4.9,1,1,1000,num_4,0.6727663000347093,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
0,0,0.0,6.1,1,0,10,10,46,,,,,77.2606043999549,77.89438229997177,77.89438229997177,78.39553839998553,315,315,78.39553839998553,78.39553839998553,78.39553839998553,78.39553839998553,78.39553839998553,78.39553839998553,78.39553839998553,78.39553839998553,78.39553839998553,78.76216109999223,78.76216109999223,78.76216109999223,78.76216109999223,78.76216109999223,78.76216109999223,78.76216109999223,78.76216109999223,78.76216109999223,0,1,[0.0007327999919652939],[0.36749350000172853],78.76216109999223,78.96247389999917,0.0,78.96247389999917,0,0.0,0,1,1000,num_1,1.2863514000200666,,24,7,2026-03-04_15h44.59.615,2026A_exp2,2022.2.4,59.97458277377605,
