validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1,0,0.0,6.1,0,0,0,0,82,4.009995609521866e-05,4.009995609521866e-05,114.01334680011496,116.03683570004068,116.03683570004068,116.65550219989382,116.65550219989382,117.17448320006952,315,45,117.17448320006952,117.17448320006952,117.17448320006952,117.17448320006952,117.17448320006952,117.17448320006952,117.17448320006952,117.17448320006952,117.17448320006952,117.52092860010453,117.52092860010453,117.52092860010453,117.52092860010453,117.52092860010453,117.52092860010453,117.52092860010453,117.52092860010453,117.52092860010453,23,0,,,117.52092860010453,117.72154950001277,0.0,117.72154950001277,0,0.0,0,1,1000,num_1,0.7407343999948353,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,4.9,1,0,1,1,78,,,,,118.4886163000483,119.1392759999726,119.1392759999726,119.64026300003752,45,315,119.64026300003752,119.64026300003752,119.64026300003752,119.64026300003752,119.64026300003752,119.64026300003752,119.64026300003752,119.64026300003752,119.64026300003752,120.00677140010521,120.00677140010521,120.00677140010521,120.00677140010521,120.00677140010521,120.00677140010521,120.00677140010521,120.00677140010521,120.00677140010521,23,0,,,120.00677140010521,120.21295509999618,1000,120.21295509999618,1000,1000,1000,1000,1,num_2,1.009018799988553,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,0.0,1,0,2,2,56,,,,,121.2410812000744,121.89167300006375,121.89167300006375,122.39287610002793,315,45,122.39287610002793,122.39287610002793,122.39287610002793,122.39287610002793,122.39287610002793,122.39287610002793,122.39287610002793,122.39287610002793,122.39287610002793,122.74282600008883,122.74282600008883,122.74282600008883,122.74282600008883,122.74282600008883,122.74282600008883,122.74282600008883,122.74282600008883,122.74282600008883,22,0,,,122.74282600008883,122.94535940000787,1000,122.94535940000787,1000,1000,1000,1000,1,num_2,1.2772226999513805,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1,0,6.1,3.7,0,0,3,3,31,,,,,124.24447740009055,124.89502920000814,124.89502920000814,125.37942870007828,45,315,125.37942870007828,125.37942870007828,125.37942870007828,125.37942870007828,125.37942870007828,125.37942870007828,125.37942870007828,125.37942870007828,125.37942870007828,125.74577379995026,125.74577379995026,125.74577379995026,125.74577379995026,125.74577379995026,125.74577379995026,125.74577379995026,125.74577379995026,125.74577379995026,23,0,,,125.74577379995026,125.94594249990769,6.1,125.94594249990769,0,6.1,1,0,1000,num_1,0.723127800039947,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,4.9,0.0,0,0,4,4,50,,,,,126.6966407999862,127.34753979998641,127.34753979998641,127.83189220004715,45,45,127.83189220004715,127.83189220004715,127.83189220004715,127.83189220004715,127.83189220004715,127.83189220004715,127.83189220004715,127.83189220004715,127.83189220004715,128.19823949993588,128.19823949993588,128.19823949993588,128.19823949993588,128.19823949993588,128.19823949993588,128.19823949993588,128.19823949993588,128.19823949993588,23,0,,,128.19823949993588,128.40088100009598,1000,128.40088100009598,1000,1000,1000,1000,1,num_2,0.9893223997205496,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,0.0,0,0,5,5,72,,,,,129.41600299999118,130.06661750003695,130.06661750003695,130.56790819996968,45,315,130.56790819996968,130.56790819996968,130.56790819996968,130.56790819996968,130.56790819996968,130.56790819996968,130.56790819996968,130.56790819996968,130.56790819996968,130.93428010004573,130.93428010004573,130.93428010004573,130.93428010004573,130.93428010004573,130.93428010004573,130.93428010004573,130.93428010004573,130.93428010004573,23,0,,,130.93428010004573,131.136978500057,1000,131.136978500057,1000,1000,1000,1000,0,num_3,0.9246857997495681,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,6.1,1,0,6,6,69,,,,,132.08553849998862,132.7360813000705,132.7360813000705,133.2371960999444,45,315,133.2371960999444,133.2371960999444,133.2371960999444,133.2371960999444,133.2371960999444,133.2371960999444,133.2371960999444,133.2371960999444,133.2371960999444,133.58700819988735,133.58700819988735,133.58700819988735,133.58700819988735,133.58700819988735,133.58700819988735,133.58700819988735,133.58700819988735,133.58700819988735,22,0,,,133.58700819988735,133.78969260002486,1000,133.78969260002486,1000,1000,1000,1000,1,num_2,1.0959178998600692,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,6.1,1,0,7,7,19,,,,,134.90496610011905,135.55564470007084,135.55564470007084,136.05678119999357,315,45,136.05678119999357,136.05678119999357,136.05678119999357,136.05678119999357,136.05678119999357,136.05678119999357,136.05678119999357,136.05678119999357,136.05678119999357,136.42306550010107,136.42306550010107,136.42306550010107,136.42306550010107,136.42306550010107,136.42306550010107,136.42306550010107,136.42306550010107,136.42306550010107,23,0,,,136.42306550010107,136.62552349991165,1000,136.62552349991165,1000,1000,1000,1000,1,num_2,0.46008790004998446,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
0,0,0.0,0.0,0,0,8,8,22,,,,,137.1072386999149,137.75782920001075,137.75782920001075,138.25880570011213,45,45,138.25880570011213,138.25880570011213,138.25880570011213,138.25880570011213,138.25880570011213,138.25880570011213,138.25880570011213,138.25880570011213,138.25880570011213,138.60870549990796,138.60870549990796,138.60870549990796,138.60870549990796,138.60870549990796,138.60870549990796,138.60870549990796,138.60870549990796,138.60870549990796,22,0,,,138.60870549990796,138.8088295001071,0.0,138.8088295001071,0,0.0,0,1,1000,num_1,0.9006875997874886,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1,0,0.0,0.0,1,0,9,9,41,,,,,139.72655569994822,140.37715360010043,140.37715360010043,140.86143800010905,45,315,140.86143800010905,140.86143800010905,140.86143800010905,140.86143800010905,140.86143800010905,140.86143800010905,140.86143800010905,140.86143800010905,140.86143800010905,141.2279177000746,141.2279177000746,141.2279177000746,141.2279177000746,141.2279177000746,141.2279177000746,141.2279177000746,141.2279177000746,141.2279177000746,23,0,,,141.2279177000746,141.42813859996386,0.0,141.42813859996386,0,0.0,0,1,1000,num_1,0.3214244998525828,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,3.7,4.9,0,0,10,10,64,,,,,141.77850540005602,142.41253930004314,142.41253930004314,142.91354339988902,315,315,142.91354339988902,142.91354339988902,142.91354339988902,142.91354339988902,142.91354339988902,142.91354339988902,142.91354339988902,142.91354339988902,142.91354339988902,143.27997149992734,143.27997149992734,143.27997149992734,143.27997149992734,143.27997149992734,143.27997149992734,143.27997149992734,143.27997149992734,143.27997149992734,23,0,,,143.27997149992734,143.48284940002486,1000,143.48284940002486,1000,1000,1000,1000,1,num_2,0.8503926999401301,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1,0,4.9,6.1,0,0,11,11,33,,,,,144.36448039999232,145.01510809990577,145.01510809990577,145.51625319989398,315,315,145.51625319989398,145.51625319989398,145.51625319989398,145.51625319989398,145.51625319989398,145.51625319989398,145.51625319989398,145.51625319989398,145.51625319989398,145.88260230002925,145.88260230002925,145.88260230002925,145.88260230002925,145.88260230002925,145.88260230002925,145.88260230002925,145.88260230002925,145.88260230002925,23,0,,,145.88260230002925,146.08287000004202,4.9,146.08287000004202,1,4.9,1,1,1000,num_4,0.9640535998623818,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,0.0,0,0,12,12,87,,,,,147.06719240010716,147.7180693000555,147.7180693000555,148.20806049997918,315,45,148.20806049997918,148.20806049997918,148.20806049997918,148.20806049997918,148.20806049997918,148.20806049997918,148.20806049997918,148.20806049997918,148.20806049997918,148.56870410009287,148.56870410009287,148.56870410009287,148.56870410009287,148.56870410009287,148.56870410009287,148.56870410009287,148.56870410009287,148.56870410009287,23,0,,,148.56870410009287,148.77186130010523,1000,148.77186130010523,1000,1000,1000,1000,1,num_2,1.0418916998896748,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
0,0,4.9,4.9,1,0,13,13,48,,,,,149.83659399999306,150.4872314000968,150.4872314000968,150.98851389996707,45,315,150.98851389996707,150.98851389996707,150.98851389996707,150.98851389996707,150.98851389996707,150.98851389996707,150.98851389996707,150.98851389996707,150.98851389996707,151.33801009994932,151.33801009994932,151.33801009994932,151.33801009994932,151.33801009994932,151.33801009994932,151.33801009994932,151.33801009994932,151.33801009994932,22,0,,,151.33801009994932,151.55090159992687,4.9,151.55090159992687,0,4.9,1,0,1000,num_1,0.8941947997082025,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1,0,0.0,0.0,0,0,14,14,34,,,,,152.47261930000968,153.10636479989626,153.10636479989626,153.60764169995673,45,45,153.60764169995673,153.60764169995673,153.60764169995673,153.60764169995673,153.60764169995673,153.60764169995673,153.60764169995673,153.60764169995673,153.60764169995673,153.97390490002,153.97390490002,153.97390490002,153.97390490002,153.97390490002,153.97390490002,153.97390490002,153.97390490002,153.97390490002,23,0,,,153.97390490002,154.17433609999716,0.0,154.17433609999716,0,0.0,0,1,1000,num_1,0.8560369000770152,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,0.0,1,0,15,15,40,,,,,155.05843330011703,155.70914639998227,155.70914639998227,156.19358470011503,45,315,156.19358470011503,156.19358470011503,156.19358470011503,156.19358470011503,156.19358470011503,156.19358470011503,156.19358470011503,156.19358470011503,156.19358470011503,156.5598734000232,156.5598734000232,156.5598734000232,156.5598734000232,156.5598734000232,156.5598734000232,156.5598734000232,156.5598734000232,156.5598734000232,23,0,,,156.5598734000232,156.7626648999285,1000,156.7626648999285,1000,1000,1000,1000,1,num_2,0.7876730998978019,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,3.7,4.9,0,0,16,16,80,,,,,157.57764069992118,158.2282173000276,158.2282173000276,158.729301400017,45,315,158.729301400017,158.729301400017,158.729301400017,158.729301400017,158.729301400017,158.729301400017,158.729301400017,158.729301400017,158.729301400017,159.07897950010374,159.07897950010374,159.07897950010374,159.07897950010374,159.07897950010374,159.07897950010374,159.07897950010374,159.07897950010374,159.07897950010374,22,0,,,159.07897950010374,159.28176219994202,1000,159.29604719998315,1000,1000,1000,1000,1,num_2,0.6774818999692798,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
1000,1,0.0,4.9,0,0,17,17,74,,,,,159.99679909995757,160.64723760006018,160.64723760006018,161.14838610007428,315,45,161.14838610007428,161.14838610007428,161.14838610007428,161.14838610007428,161.14838610007428,161.14838610007428,161.14838610007428,161.14838610007428,161.14838610007428,161.49807689990848,161.49807689990848,161.49807689990848,161.49807689990848,161.49807689990848,161.49807689990848,161.49807689990848,161.49807689990848,161.49807689990848,22,0,,,161.49807689990848,161.69816399994306,1000,161.71493989997543,1000,1000,1000,1000,1,num_2,0.33886849973350763,,30,1,2026-03-12_10h18.10.011,2026A_exp2,2022.2.4,59.94377275962529,
