validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1000,1,0.0,0.0,1,0,0,0,23,4.42001037299633e-05,4.42001037299633e-05,50.13772339979187,52.14204559987411,52.14204559987411,52.774690199876204,52.774690199876204,53.29889799980447,315,315,53.29889799980447,53.29889799980447,53.29889799980447,53.29889799980447,53.29889799980447,53.29889799980447,53.29889799980447,53.29889799980447,53.29889799980447,53.64103039982729,53.64103039982729,53.64103039982729,53.64103039982729,53.64103039982729,53.64103039982729,53.64103039982729,53.64103039982729,53.64103039982729,0,1,[0.001017100177705288],[0.36562540009617805],53.64103039982729,53.841832499951124,1000,53.841832499951124,1000,1000,1000,1000,0,num_3,1.214992299908772,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
1000,1,0.0,0.0,0,0,1,1,72,,,,,55.075903199845925,55.726242299890146,55.726242299890146,56.22757039987482,45,45,56.22757039987482,56.22757039987482,56.22757039987482,56.22757039987482,56.22757039987482,56.22757039987482,56.22757039987482,56.22757039987482,56.22757039987482,56.57726519997232,56.57726519997232,56.57726519997232,56.57726519997232,56.57726519997232,56.57726519997232,56.57726519997232,56.57726519997232,56.57726519997232,21,1,[0.08379069995135069],[0.1003330999519676],56.57726519997232,56.777601899812,1000,56.777601899812,1000,1000,1000,1000,0,num_3,0.7991591000463814,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
1000,1,0.0,0.0,0,0,2,2,6,,,,,57.59490899997763,58.245953699806705,58.245953699806705,58.73094839998521,315,45,58.73094839998521,58.73094839998521,58.73094839998521,58.73094839998521,58.73094839998521,58.73094839998521,58.73094839998521,58.73094839998521,58.73094839998521,59.09667079988867,59.09667079988867,59.09667079988867,59.09667079988867,59.09667079988867,59.09667079988867,59.09667079988867,59.09667079988867,59.09667079988867,23,0,,,59.09667079988867,59.29680119990371,1000,59.29680119990371,1000,1000,1000,1000,1,num_2,0.512576200067997,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
1,0,4.9,4.9,0,0,3,3,39,,,,,59.83084069984034,60.48153499979526,60.48153499979526,60.9827094997745,45,315,60.9827094997745,60.9827094997745,60.9827094997745,60.9827094997745,60.9827094997745,60.9827094997745,60.9827094997745,60.9827094997745,60.9827094997745,61.33198119979352,61.33198119979352,61.33198119979352,61.33198119979352,61.33198119979352,61.33198119979352,61.33198119979352,61.33198119979352,61.33198119979352,22,0,,,61.33198119979352,61.532285699853674,4.9,61.532285699853674,0,4.9,1,0,1000,num_1,3.0368937999010086,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
1,0,3.7,6.1,1,0,4,4,77,,,,,64.58534049987793,65.23609199980274,65.23609199980274,65.72030299995095,315,315,65.72030299995095,65.72030299995095,65.72030299995095,65.72030299995095,65.72030299995095,65.72030299995095,65.72030299995095,65.72030299995095,65.72030299995095,66.0866181999445,66.0866181999445,66.0866181999445,66.0866181999445,66.0866181999445,66.0866181999445,66.0866181999445,66.0866181999445,66.0866181999445,20,1,[0.033608000027015805],[0.08356159995310009],66.0866181999445,66.28697989997454,6.1,66.28697989997454,1,6.1,1,1,1000,num_4,1.6020444999448955,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
1000,1,3.7,4.9,0,0,5,5,64,,,,,67.90544949984178,68.55596249992959,68.55596249992959,69.04020999977365,315,45,69.04020999977365,69.04020999977365,69.04020999977365,69.04020999977365,69.04020999977365,69.04020999977365,69.04020999977365,69.04020999977365,69.04020999977365,69.40685909986496,69.40685909986496,69.40685909986496,69.40685909986496,69.40685909986496,69.40685909986496,69.40685909986496,69.40685909986496,69.40685909986496,23,0,,,69.40685909986496,69.6070220998954,1000,69.6070220998954,1000,1000,1000,1000,0,num_3,2.089625399792567,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
0,0,3.7,6.1,0,0,6,6,73,,,,,71.72581579978578,72.37652989989147,72.37652989989147,72.8607433999423,315,315,72.8607433999423,72.8607433999423,72.8607433999423,72.8607433999423,72.8607433999423,72.8607433999423,72.8607433999423,72.8607433999423,72.8607433999423,73.22704849997535,73.22704849997535,73.22704849997535,73.22704849997535,73.22704849997535,73.22704849997535,73.22704849997535,73.22704849997535,73.22704849997535,23,0,,,73.22704849997535,73.42746409983374,6.1,73.42746409983374,1,6.1,1,1,1000,num_4,1.6374446998815984,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
1000,1,6.1,4.9,0,0,7,7,49,,,,,75.0958701998461,75.74651519977488,75.74651519977488,76.23084149998613,45,45,76.23084149998613,76.23084149998613,76.23084149998613,76.23084149998613,76.23084149998613,76.23084149998613,76.23084149998613,76.23084149998613,76.23084149998613,76.59725899994373,76.59725899994373,76.59725899994373,76.59725899994373,76.59725899994373,76.59725899994373,76.59725899994373,76.59725899994373,76.59725899994373,23,0,,,76.59725899994373,76.7977325997781,1000,76.7977325997781,1000,1000,1000,1000,1,num_2,1.4192469997797161,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
0,0,0.0,3.7,0,0,8,8,83,,,,,78.23261719988659,78.88320159981959,78.88320159981959,79.38408029987477,315,45,79.38408029987477,79.38408029987477,79.38408029987477,79.38408029987477,79.38408029987477,79.38408029987477,79.38408029987477,79.38408029987477,79.38408029987477,79.75043449993245,79.75043449993245,79.75043449993245,79.75043449993245,79.75043449993245,79.75043449993245,79.75043449993245,79.75043449993245,79.75043449993245,23,0,,,79.75043449993245,79.95066089998,3.7,79.95066089998,1,3.7,1,1,1000,num_4,1.6184553999919444,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
1,0,4.9,4.9,0,0,9,9,84,,,,,81.58579349983484,82.23639449989423,82.23639449989423,82.72068259981461,45,45,82.72068259981461,82.72068259981461,82.72068259981461,82.72068259981461,82.72068259981461,82.72068259981461,82.72068259981461,82.72068259981461,82.72068259981461,83.08723269985057,83.08723269985057,83.08723269985057,83.08723269985057,83.08723269985057,83.08723269985057,83.08723269985057,83.08723269985057,83.08723269985057,23,0,,,83.08723269985057,83.28740079980344,4.9,83.28740079980344,0,4.9,1,0,1000,num_1,3.2657186998985708,,35,1,2026-03-13_13h11.45.103,2026A_exp2,2022.2.4,59.830512116307276,
