validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1,0,3.7,0.0,0,0,0,0,65,4.029998672194779e-05,4.029998672194779e-05,43.74832039998728,45.75170329998946,45.75170329998946,46.385083399974974,46.385083399974974,46.91757890000008,315,315,46.91757890000008,46.91757890000008,46.91757890000008,46.91757890000008,46.91757890000008,46.91757890000008,46.91757890000008,46.91757890000008,46.91757890000008,47.25278479998815,47.25278479998815,47.25278479998815,47.25278479998815,47.25278479998815,47.25278479998815,47.25278479998815,47.25278479998815,47.25278479998815,22,0,,,47.25278479998815,47.45297089999076,3.7,47.45297089999076,1,3.7,1,1,1000,num_4,0.5172773999802303,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,0.0,3.7,0,0,1,1,51,,,,,47.9865826999885,48.6206075999944,48.6206075999944,49.1216587999952,45,45,49.1216587999952,49.1216587999952,49.1216587999952,49.1216587999952,49.1216587999952,49.1216587999952,49.1216587999952,49.1216587999952,49.1216587999952,49.48810399998911,49.48810399998911,49.48810399998911,49.48810399998911,49.48810399998911,49.48810399998911,49.48810399998911,49.48810399998911,49.48810399998911,23,0,,,49.48810399998911,49.69019120000303,1000,49.69019120000303,1000,1000,1000,1000,1,num_2,0.6007573000097182,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,4.9,0.0,0,0,2,2,26,,,,,50.32323209999595,50.972916999977315,50.972916999977315,51.474236399983056,315,315,51.474236399983056,51.474236399983056,51.474236399983056,51.474236399983056,51.474236399983056,51.474236399983056,51.474236399983056,51.474236399983056,51.474236399983056,51.8402528000006,51.8402528000006,51.8402528000006,51.8402528000006,51.8402528000006,51.8402528000006,51.8402528000006,51.8402528000006,51.8402528000006,23,0,,,51.8402528000006,52.04070439998759,1000,52.04070439998759,1000,1000,1000,1000,1,num_2,0.5781126999936532,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,0.0,0.0,0,0,3,3,17,,,,,52.64103359999717,53.29149309999775,53.29149309999775,53.79277749999892,45,45,53.79277749999892,53.79277749999892,53.79277749999892,53.79277749999892,53.79277749999892,53.79277749999892,53.79277749999892,53.79277749999892,53.79277749999892,54.14313409998431,54.14313409998431,54.14313409998431,54.14313409998431,54.14313409998431,54.14313409998431,54.14313409998431,54.14313409998431,54.14313409998431,22,0,,,54.14313409998431,54.34288589999778,1000,54.34288589999778,1000,1000,1000,1000,1,num_2,0.6035336999921128,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1,0,0.0,4.9,0,0,4,4,4,,,,,54.97785659998772,55.61091339998529,55.61091339998529,56.11246740000206,45,315,56.11246740000206,56.11246740000206,56.11246740000206,56.11246740000206,56.11246740000206,56.11246740000206,56.11246740000206,56.11246740000206,56.11246740000206,56.47859990000143,56.47859990000143,56.47859990000143,56.47859990000143,56.47859990000143,56.47859990000143,56.47859990000143,56.47859990000143,56.47859990000143,23,0,,,56.47859990000143,56.67878099999507,0.0,56.67878099999507,0,0.0,0,1,1000,num_1,0.6677835999871604,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,4.9,0.0,1,0,5,5,72,,,,,57.36297499999637,57.996790299977874,57.996790299977874,58.49821239997982,45,45,58.49821239997982,58.49821239997982,58.49821239997982,58.49821239997982,58.49821239997982,58.49821239997982,58.49821239997982,58.49821239997982,58.49821239997982,58.86452129998361,58.86452129998361,58.86452129998361,58.86452129998361,58.86452129998361,58.86452129998361,58.86452129998361,58.86452129998361,58.86452129998361,23,0,,,58.86452129998361,59.06455909999204,1000,59.06455909999204,1000,1000,1000,1000,0,num_3,0.5778122000047006,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,0.0,4.9,1,0,6,6,76,,,,,59.66765940000187,60.31542759999866,60.31542759999866,60.81665309998789,315,315,60.81665309998789,60.81665309998789,60.81665309998789,60.81665309998789,60.81665309998789,60.81665309998789,60.81665309998789,60.81665309998789,60.81665309998789,61.18303289997857,61.18303289997857,61.18303289997857,61.18303289997857,61.18303289997857,61.18303289997857,61.18303289997857,61.18303289997857,61.18303289997857,23,0,,,61.18303289997857,61.38347849997808,1000,61.38347849997808,1000,1000,1000,1000,1,num_2,0.4666373000072781,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1,0,0.0,0.0,1,0,7,7,73,,,,,61.867068499996094,62.51783909997903,62.51783909997903,63.00230900000315,315,315,63.00230900000315,63.00230900000315,63.00230900000315,63.00230900000315,63.00230900000315,63.00230900000315,63.00230900000315,63.00230900000315,63.00230900000315,63.36907859999337,63.36907859999337,63.36907859999337,63.36907859999337,63.36907859999337,63.36907859999337,63.36907859999337,63.36907859999337,63.36907859999337,23,0,,,63.36907859999337,63.5693551999866,0.0,63.58569499998703,0,0.0,0,1,1000,num_1,0.9443453999992926,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,0.0,0.0,0,0,8,8,81,,,,,64.55306919998839,,65.20628309997846,65.6883550999919,315,315,65.6883550999919,65.6883550999919,65.6883550999919,65.6883550999919,65.6883550999919,65.6883550999919,65.6883550999919,65.6883550999919,65.6883550999919,66.05428459998802,66.05428459998802,66.05428459998802,66.05428459998802,66.05428459998802,66.05428459998802,66.05428459998802,66.05428459998802,66.05428459998802,23,0,,,66.05428459998802,66.25493889997597,1000,66.25493889997597,1000,1000,1000,1000,0,num_3,2.1868691999989096,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,0.0,0.0,0,0,9,9,15,,,,,68.47382419998758,69.12418409998645,69.12418409998645,69.6255458999949,45,315,69.6255458999949,69.6255458999949,69.6255458999949,69.6255458999949,69.6255458999949,69.6255458999949,69.6255458999949,69.6255458999949,69.6255458999949,69.99146509999991,69.99146509999991,69.99146509999991,69.99146509999991,69.99146509999991,69.99146509999991,69.99146509999991,69.99146509999991,69.99146509999991,23,0,,,69.99146509999991,70.19198479998158,1000,70.19198479998158,1000,1000,1000,1000,1,num_2,0.5147512999828905,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
1000,1,0.0,0.0,1,0,10,10,23,,,,,70.72583369998029,71.36044719998608,71.36044719998608,71.86118649999844,315,315,71.86118649999844,71.86118649999844,71.86118649999844,71.86118649999844,71.86118649999844,71.86118649999844,71.86118649999844,71.86118649999844,71.86118649999844,72.2281683999754,72.2281683999754,72.2281683999754,72.2281683999754,72.2281683999754,72.2281683999754,72.2281683999754,72.2281683999754,72.2281683999754,23,0,,,72.2281683999754,72.428371099988,1000,72.428371099988,1000,1000,1000,1000,0,num_3,0.5020731000113301,,18,10,2026-03-02_11h04.26.140,2026A_exp2,2022.2.4,60.34176367730695,
