validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1,0,0.0,0.0,1,0,0,0,56,3.300001844763756e-05,3.300001844763756e-05,59.74644339992665,61.75054539996199,61.75054539996199,62.382765599992126,62.382765599992126,62.90049170004204,315,45,62.90049170004204,62.90049170004204,62.90049170004204,62.90049170004204,62.90049170004204,62.90049170004204,62.90049170004204,62.90049170004204,62.90049170004204,63.25018319999799,63.25018319999799,63.25018319999799,63.25018319999799,63.25018319999799,63.25018319999799,63.25018319999799,63.25018319999799,63.25018319999799,21,2,"[0.06734149996191263, 0.20102899987250566]","[0.08382379985414445, 0.2175827999599278]",63.25018319999799,63.45052820001729,0.0,63.45052820001729,0,0.0,0,1,1000,num_1,3.7824705000966787,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1,0,4.9,0.0,0,0,1,1,14,,,,,67.2544452000875,67.90488959988579,67.90488959988579,68.38935630000196,315,45,68.38935630000196,68.38935630000196,68.38935630000196,68.38935630000196,68.38935630000196,68.38935630000196,68.38935630000196,68.38935630000196,68.38935630000196,68.75565929990262,68.75565929990262,68.75565929990262,68.75565929990262,68.75565929990262,68.75565929990262,68.75565929990262,68.75565929990262,68.75565929990262,14,3,"[0.1669089999049902, 0.2502225998323411, 0.3668014998547733]","[0.20020299986936152, 0.35007749986834824, 0.36680540000088513]",68.75565929990262,68.956034099916,4.9,68.956034099916,0,4.9,1,0,1000,num_1,0.8372452999465168,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1000,1,0.0,3.7,1,0,2,2,86,,,,,69.8235700998921,70.47422129986808,70.47422129986808,70.95866349991411,315,45,70.95866349991411,70.95866349991411,70.95866349991411,70.95866349991411,70.95866349991411,70.95866349991411,70.95866349991411,70.95866349991411,70.95866349991411,71.32501029991545,71.32501029991545,71.32501029991545,71.32501029991545,71.32501029991545,71.32501029991545,71.32501029991545,71.32501029991545,71.32501029991545,7,3,"[0.0011424000840634108, 0.11700000008568168, 0.21708640013821423]","[0.06696690013632178, 0.18365900008939207, 0.35071110003627837]",71.32501029991545,71.52988669998012,1000,71.52988669998012,1000,1000,1000,1000,1,num_2,0.6627536001615226,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1000,1,6.1,0.0,1,0,3,3,71,,,,,72.20915729994886,72.86002840008587,72.86002840008587,73.37646820000373,315,45,73.37646820000373,73.37646820000373,73.37646820000373,73.37646820000373,73.37646820000373,73.37646820000373,73.37646820000373,73.37646820000373,73.37646820000373,73.72756620007567,73.72756620007567,73.72756620007567,73.72756620007567,73.72756620007567,73.72756620007567,73.72756620007567,73.72756620007567,73.72756620007567,0,1,[0.004290400072932243],[0.36559329996816814],73.72756620007567,73.94347559986636,1000,73.94347559986636,1000,1000,1000,1000,0,num_3,0.5130563999991864,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1000,1,0.0,0.0,1,0,4,4,27,,,,,74.47804519999772,75.1288795999717,75.1288795999717,75.62991150002927,45,45,75.62991150002927,75.62991150002927,75.62991150002927,75.62991150002927,75.62991150002927,75.62991150002927,75.62991150002927,75.62991150002927,75.62991150002927,75.97987210005522,75.97987210005522,75.97987210005522,75.97987210005522,75.97987210005522,75.97987210005522,75.97987210005522,75.97987210005522,75.97987210005522,5,4,"[0.0011928998865187168, 0.06647349987179041, 0.09995489986613393, 0.28257709997706115]","[0.03322279988788068, 0.08324209996499121, 0.26594060007482767, 0.3496596999466419]",75.97987210005522,76.17996519990265,1000,76.19646040000953,1000,1000,1000,1000,1,num_2,0.6359880999661982,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1,0,0.0,6.1,0,0,5,5,3,,,,,76.86394990002736,77.51441120007075,77.51441120007075,78.01573049998842,45,315,78.01573049998842,78.01573049998842,78.01573049998842,78.01573049998842,78.01573049998842,78.01573049998842,78.01573049998842,78.01573049998842,78.01573049998842,78.38211930007674,78.38211930007674,78.38211930007674,78.38211930007674,78.38211930007674,78.38211930007674,78.38211930007674,78.38211930007674,78.38211930007674,8,4,"[0.033441900042817, 0.08353990013711154, 0.18342670006677508, 0.2836496001109481]","[0.06688350019976497, 0.1669955002143979, 0.25016740011051297, 0.3503711000084877]",78.38211930007674,78.58236230001785,0.0,78.58236230001785,0,0.0,0,1,1000,num_1,0.8979802001267672,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1,0,6.1,0.0,1,0,6,6,23,,,,,79.49977250001393,80.1505658000242,80.1505658000242,80.63499509985559,45,315,80.63499509985559,80.63499509985559,80.63499509985559,80.63499509985559,80.63499509985559,80.63499509985559,80.63499509985559,80.63499509985559,80.63499509985559,81.00136479991488,81.00136479991488,81.00136479991488,81.00136479991488,81.00136479991488,81.00136479991488,81.00136479991488,81.00136479991488,81.00136479991488,10,6,"[0.0012246998958289623, 0.08349179988726974, 0.16704909992404282, 0.23370749992318451, 0.28331089997664094, 0.3168366998434067]","[0.06683599995449185, 0.11680069984868169, 0.2170190999750048, 0.26705939997918904, 0.3002363999839872, 0.33316270005889237]",81.00136479991488,81.2016892998945,0.0,81.2016892998945,0,0.0,0,1,1000,num_1,0.9115699999965727,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1,0,0.0,0.0,1,0,7,7,24,,,,,82.13574160006829,82.78653379995376,82.78653379995376,83.27104029990733,315,315,83.27104029990733,83.27104029990733,83.27104029990733,83.27104029990733,83.27104029990733,83.27104029990733,83.27104029990733,83.27104029990733,83.27104029990733,83.63742140005343,83.63742140005343,83.63742140005343,83.63742140005343,83.63742140005343,83.63742140005343,83.63742140005343,83.63742140005343,83.63742140005343,14,6,"[0.0334880999289453, 0.08335400000214577, 0.1671519000083208, 0.2171873999759555, 0.25051749986596406, 0.3339309999719262]","[0.06696219998411834, 0.10009109997190535, 0.18381619988940656, 0.2339619998820126, 0.26711470005102456, 0.36728909984230995]",83.63742140005343,83.83757520001382,0.0,83.83757520001382,0,0.0,0,1,1000,num_1,0.6444069999270141,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1000,1,6.1,0.0,1,0,8,8,61,,,,,84.50713990000077,85.15550530003384,85.15550530003384,85.65658700000495,315,45,85.65658700000495,85.65658700000495,85.65658700000495,85.65658700000495,85.65658700000495,85.65658700000495,85.65658700000495,85.65658700000495,85.65658700000495,86.02310459990986,86.02310459990986,86.02310459990986,86.02310459990986,86.02310459990986,86.02310459990986,86.02310459990986,86.02310459990986,86.02310459990986,12,5,"[0.03342899982817471, 0.08344349986873567, 0.13355679996311665, 0.21690130000934005, 0.2995602998416871]","[0.050221099983900785, 0.1168108000420034, 0.18362829997204244, 0.25048739998601377, 0.3665727998595685]",86.02310459990986,86.22514920006506,1000,86.22514920006506,1000,1000,1000,1000,0,num_3,0.5833938999567181,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1,0,3.7,4.9,0,0,9,9,70,,,,,86.8238061000593,87.47454199986532,87.47454199986532,87.97549619991332,45,45,87.97549619991332,87.97549619991332,87.97549619991332,87.97549619991332,87.97549619991332,87.97549619991332,87.97549619991332,87.97549619991332,87.97549619991332,88.34208590001799,88.34208590001799,88.34208590001799,88.34208590001799,88.34208590001799,88.34208590001799,88.34208590001799,88.34208590001799,88.34208590001799,21,1,[0.20028079999610782],[0.23364860005676746],88.34208590001799,88.54227690002881,3.7,88.54227690002881,1,3.7,1,1,1000,num_4,1.6347890000324696,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1000,1,4.9,6.1,1,0,10,10,4,,,,,90.19378639990464,90.84455349994823,90.84455349994823,91.3288642000407,45,315,91.3288642000407,91.3288642000407,91.3288642000407,91.3288642000407,91.3288642000407,91.3288642000407,91.3288642000407,91.3288642000407,91.3288642000407,91.69539620005526,91.69539620005526,91.69539620005526,91.69539620005526,91.69539620005526,91.69539620005526,91.69539620005526,91.69539620005526,91.69539620005526,10,3,"[0.10023469990119338, 0.2169534000568092, 0.2837112001143396]","[0.20010000001639128, 0.2500404000747949, 0.3672515000216663]",91.69539620005526,91.89736649999395,1000,91.89736649999395,1000,1000,1000,1000,1,num_2,0.4723345001693815,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
1,0,4.9,0.0,0,0,11,11,19,,,,,92.39596539991908,93.0467678999994,93.0467678999994,93.54772959998809,45,45,93.54772959998809,93.54772959998809,93.54772959998809,93.54772959998809,93.54772959998809,93.54772959998809,93.54772959998809,93.54772959998809,93.54772959998809,93.91431599995121,93.91431599995121,93.91431599995121,93.91431599995121,93.91431599995121,93.91431599995121,93.91431599995121,93.91431599995121,93.91431599995121,7,5,"[0.017120500095188618, 0.05027369991876185, 0.1853954999241978, 0.28533599991351366, 0.33553009992465377]","[0.03362019988708198, 0.15025780000723898, 0.2687697000801563, 0.3187841000035405, 0.3689319998957217]",93.91431599995121,94.12118880008347,4.9,94.12118880008347,1,4.9,1,1,1000,num_4,1.3590670998673886,,35,6,2026-03-13_13h49.24.742,2026A_exp2,2022.2.4,59.88368191499607,
