validity,detectorcomp,contrastCW,contrastCCW,precueCWorCCW,block_80trials.thisRepN,block_80trials.thisTrialN,block_80trials.thisN,block_80trials.thisIndex,etRecord.started,etRecord.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_6.started,text_6.stopped,oriCW,oriCCW,roi_2.started,grating_UR.started,grating_UL.started,grating_LR.started,grating_LL.started,noise_UR.started,noise_UL.started,noise_LR.started,noise_LL.started,roi_2.stopped,grating_UR.stopped,grating_UL.stopped,grating_LR.stopped,grating_LL.stopped,noise_UR.stopped,noise_UL.stopped,noise_LR.stopped,noise_LL.stopped,outframe,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,text_2.started,text_2.stopped,probedcontrast,key_resp.started,respdetect,relevantContrast,correctDetect,TorFdetect,respCWorCCW,key_resp.keys,key_resp.rt,feedback_display_.started,participantNo,blockNo,date,expName,psychopyVersion,frameRate,
1000,1,3.7,0.0,1,0,0,0,33,3.779982216656208e-05,3.779982216656208e-05,53.79845659993589,55.80277399998158,55.80277399998158,56.435840900056064,56.435840900056064,56.962290399940684,315,45,56.962290399940684,56.962290399940684,56.962290399940684,56.962290399940684,56.962290399940684,56.962290399940684,56.962290399940684,56.962290399940684,56.962290399940684,57.30272229993716,57.30272229993716,57.30272229993716,57.30272229993716,57.30272229993716,57.30272229993716,57.30272229993716,57.30272229993716,57.30272229993716,23,0,,,57.30272229993716,57.5037394000683,1000,57.5037394000683,1000,1000,1000,1000,0,num_3,0.6236034000758082,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1000,1,3.7,3.7,1,0,1,1,88,,,,,58.153577300021425,58.78751409985125,58.78751409985125,59.28901079995558,315,315,59.28901079995558,59.28901079995558,59.28901079995558,59.28901079995558,59.28901079995558,59.28901079995558,59.28901079995558,59.28901079995558,59.28901079995558,59.65489330003038,59.65489330003038,59.65489330003038,59.65489330003038,59.65489330003038,59.65489330003038,59.65489330003038,59.65489330003038,59.65489330003038,0,1,[0.0009236999321728945],[0.3665660999249667],59.65489330003038,59.855265399906784,1000,59.855265399906784,1000,1000,1000,1000,1,num_2,0.5916798000689596,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1,0,6.1,4.9,0,0,2,2,30,,,,,60.47269940003753,61.12303159991279,61.12303159991279,61.60758959990926,45,315,61.60758959990926,61.60758959990926,61.60758959990926,61.60758959990926,61.60758959990926,61.60758959990926,61.60758959990926,61.60758959990926,61.60758959990926,61.97380040003918,61.97380040003918,61.97380040003918,61.97380040003918,61.97380040003918,61.97380040003918,61.97380040003918,61.97380040003918,61.97380040003918,0,1,[0.000970599940046668],[0.3668927999678999],61.97380040003918,62.17421169998124,6.1,62.17421169998124,1,6.1,1,1,1000,num_4,0.6646024000365287,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1,0,0.0,4.9,1,0,3,3,65,,,,,62.85827500000596,63.49267669999972,63.49267669999972,63.993299199966714,315,45,63.993299199966714,63.993299199966714,63.993299199966714,63.993299199966714,63.993299199966714,63.993299199966714,63.993299199966714,63.993299199966714,63.993299199966714,64.35996889998205,64.35996889998205,64.35996889998205,64.35996889998205,64.35996889998205,64.35996889998205,64.35996889998205,64.35996889998205,64.35996889998205,0,1,[0.0007619999814778566],[0.3676068999338895],64.35996889998205,64.56033749994822,4.9,64.56033749994822,1,4.9,1,1,1000,num_4,0.5748767000623047,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1,0,0.0,4.9,0,0,4,4,35,,,,,65.16072100005113,65.8110404999461,65.8110404999461,66.2958485998679,45,45,66.2958485998679,66.2958485998679,66.2958485998679,66.2958485998679,66.2958485998679,66.2958485998679,66.2958485998679,66.2958485998679,66.2958485998679,66.6621747999452,66.6621747999452,66.6621747999452,66.6621747999452,66.6621747999452,66.6621747999452,66.6621747999452,66.6621747999452,66.6621747999452,0,1,[0.0008250998798757792],[0.3673236998729408],66.6621747999452,66.86217630002648,0.0,66.86217630002648,0,0.0,0,1,1000,num_1,0.5927308001555502,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1000,1,0.0,3.7,1,0,5,5,75,,,,,67.4796769998502,68.11355070001446,68.11355070001446,68.61489790002815,315,315,68.61489790002815,68.61489790002815,68.61489790002815,68.61489790002815,68.61489790002815,68.61489790002815,68.61489790002815,68.61489790002815,68.61489790002815,68.98099309997633,68.98099309997633,68.98099309997633,68.98099309997633,68.98099309997633,68.98099309997633,68.98099309997633,68.98099309997633,68.98099309997633,23,0,,,68.98099309997633,69.18122570007108,1000,69.18122570007108,1000,1000,1000,1000,1,num_2,0.5135774000082165,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1,0,6.1,3.7,0,0,6,6,86,,,,,69.71503559988923,70.36700859991834,70.36700859991834,70.86685570003465,315,45,70.86685570003465,70.86685570003465,70.86685570003465,70.86685570003465,70.86685570003465,70.86685570003465,70.86685570003465,70.86685570003465,70.86685570003465,71.23358180001378,71.23358180001378,71.23358180001378,71.23358180001378,71.23358180001378,71.23358180001378,71.23358180001378,71.23358180001378,71.23358180001378,23,0,,,71.23358180001378,71.43327279994264,6.1,71.43327279994264,1,6.1,1,1,1000,num_4,0.605976999970153,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1000,1,4.9,0.0,0,0,7,7,78,,,,,72.06789790000767,72.71810829988681,72.71810829988681,73.2027513999492,315,315,73.2027513999492,73.2027513999492,73.2027513999492,73.2027513999492,73.2027513999492,73.2027513999492,73.2027513999492,73.2027513999492,73.2027513999492,73.5690524999518,73.5690524999518,73.5690524999518,73.5690524999518,73.5690524999518,73.5690524999518,73.5690524999518,73.5690524999518,73.5690524999518,0,1,[0.0009188998956233263],[0.3672956998925656],73.5690524999518,73.76934130000882,1000,73.76934130000882,1000,1000,1000,1000,0,num_3,0.5176015999168158,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1000,1,6.1,3.7,0,0,8,8,61,,,,,74.30316839995794,74.95355189987458,74.95355189987458,75.45472189993598,45,315,75.45472189993598,75.45472189993598,75.45472189993598,75.45472189993598,75.45472189993598,75.45472189993598,75.45472189993598,75.45472189993598,75.45472189993598,75.80478039989248,75.80478039989248,75.80478039989248,75.80478039989248,75.80478039989248,75.80478039989248,75.80478039989248,75.80478039989248,75.80478039989248,0,1,[0.0012338000815361738],[0.3525829000864178],75.80478039989248,76.00536080007441,1000,76.00536080007441,1000,1000,1000,1000,0,num_3,0.6173902000300586,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
1000,1,4.9,0.0,1,0,9,9,28,,,,,76.63914009998553,77.28912839991972,77.28912839991972,77.79072349984199,315,315,77.79072349984199,77.79072349984199,77.79072349984199,77.79072349984199,77.79072349984199,77.79072349984199,77.79072349984199,77.79072349984199,77.79072349984199,78.15676559996791,78.15676559996791,78.15676559996791,78.15676559996791,78.15676559996791,78.15676559996791,78.15676559996791,78.15676559996791,78.15676559996791,0,1,[0.0008604000322520733],[0.3675999001134187],78.15676559996791,78.35731570003554,1000,78.35731570003554,1000,1000,1000,1000,0,num_3,0.3453202999662608,,30,8,2026-03-12_10h53.38.019,2026A_exp2,2022.2.4,60.037451297828774,
