contrast,ori,side,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left2.started,noise_right2.started,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left2.stopped,noise_right2.stopped,key_resp.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
42.7,315,1,0,0,0,0,35,14.564778900239617,14.564778900239617,15.0456775999628,15.112373100128025,15.203895600046962,15.203895600046962,15.203895600046962,15.203895600046962,15.228904800023884,15.228904800023884,15.228904800023884,15.228904800023884,15.228904800023884,15.228904800023884,15.228904800023884,15.228904800023884,15.228904800023884,right,17.19081800011918,32.446147799957544,32.446147799957544,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
42.7,45,-1,-1,0,1,1,80,32.446147799957544,32.446147799957544,32.94679389987141,33.013484300114214,33.06366549991071,33.06366549991071,33.06366549991071,33.06366549991071,33.11362269986421,33.11362269986421,33.11362269986421,33.11362269986421,33.11362269986421,33.11362269986421,33.11362269986421,33.11362269986421,33.11362269986421,right,1.1544217001646757,34.29836730007082,34.29836730007082,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
29.4,45,-1,-1,0,2,2,77,34.29836730007082,34.29836730007082,34.79869019985199,34.865416100248694,34.91558900009841,34.91558900009841,34.91558900009841,34.91558900009841,34.96547510009259,34.96547510009259,34.96547510009259,34.96547510009259,34.96547510009259,34.96547510009259,34.96547510009259,34.96547510009259,34.96547510009259,left,0.5909767001867294,35.58256040001288,35.58256040001288,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
25.5,315,-1,-1,0,3,3,85,35.58256040001288,35.58256040001288,36.08321199985221,36.14983389992267,36.20013500005007,36.20013500005007,36.20013500005007,36.20013500005007,36.24989779992029,36.24989779992029,36.24989779992029,36.24989779992029,36.24989779992029,36.24989779992029,36.24989779992029,36.24989779992029,36.24989779992029,right,0.5945748002268374,36.86746089998633,36.86746089998633,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
39.2,45,1,-1,0,4,4,97,36.86746089998633,36.86746089998633,37.367860599886626,37.434243800118566,37.48474310012534,37.48474310012534,37.48474310012534,37.48474310012534,37.53458630014211,37.53458630014211,37.53458630014211,37.53458630014211,37.53458630014211,37.53458630014211,37.53458630014211,37.53458630014211,37.53458630014211,left,0.5979234999977052,38.151886799838394,38.151886799838394,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
15.7,315,-1,0,0,5,5,10,38.151886799838394,38.151886799838394,38.65244730003178,38.71915449993685,38.76941929990426,38.76941929990426,38.76941929990426,38.76941929990426,38.819109600037336,38.819109600037336,38.819109600037336,38.819109600037336,38.819109600037336,38.819109600037336,38.819109600037336,38.819109600037336,38.819109600037336,right,0.5451907003298402,39.38635249994695,39.38635249994695,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
22.7,45,1,-1,0,6,6,93,39.38635249994695,39.38635249994695,39.8870164998807,39.95389370014891,40.004124800208956,40.004124800208956,40.004124800208956,40.004124800208956,40.05395459989086,40.05395459989086,40.05395459989086,40.05395459989086,40.05395459989086,40.05395459989086,40.05395459989086,40.05395459989086,40.05395459989086,left,0.4945975001901388,40.570947099942714,40.570947099942714,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
12.1,45,1,0,0,7,7,18,40.570947099942714,40.570947099942714,41.07161210011691,41.13817990012467,41.18847749987617,41.18847749987617,41.18847749987617,41.18847749987617,41.23817660007626,41.23817660007626,41.23817660007626,41.23817660007626,41.23817660007626,41.23817660007626,41.23817660007626,41.23817660007626,41.23817660007626,left,0.7493318002671003,42.00581539981067,42.00581539981067,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
29.4,45,-1,0,0,8,8,5,42.00581539981067,42.00581539981067,42.506256700027734,42.572906699962914,42.62334610009566,42.62334610009566,42.62334610009566,42.62334610009566,42.67314699990675,42.67314699990675,42.67314699990675,42.67314699990675,42.67314699990675,42.67314699990675,42.67314699990675,42.67314699990675,42.67314699990675,right,20.978371299803257,63.67761899996549,63.67761899996549,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
19.6,45,1,-1,0,9,9,92,63.67761899996549,63.67761899996549,64.17813970008865,64.24458070006222,64.29480500007048,64.29480500007048,64.29480500007048,64.29480500007048,64.34466159995645,64.34466159995645,64.34466159995645,64.34466159995645,64.34466159995645,64.34466159995645,64.34466159995645,64.34466159995645,64.34466159995645,left,0.6025701002217829,64.97876580012962,64.97876580012962,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
42.7,45,-1,0,0,10,10,8,64.97876580012962,64.97876580012962,65.47932410007343,65.54592420021072,65.59627819992602,65.59627819992602,65.59627819992602,65.59627819992602,65.64613400027156,65.64613400027156,65.64613400027156,65.64613400027156,65.64613400027156,65.64613400027156,65.64613400027156,65.64613400027156,65.64613400027156,left,0.5419212002307177,66.21331770019606,66.21331770019606,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
42.7,315,1,1,0,11,11,71,66.21331770019606,66.21331770019606,66.71367780026048,66.78059130022302,66.83075600024313,66.83075600024313,66.83075600024313,66.83075600024313,66.88058080011979,66.88058080011979,66.88058080011979,66.88058080011979,66.88058080011979,66.88058080011979,66.88058080011979,66.88058080011979,66.88058080011979,right,0.41916629998013377,67.331111300271,67.331111300271,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
29.4,315,1,0,0,12,12,32,67.331111300271,67.331111300271,67.83163309982046,67.89824530016631,67.94864280009642,67.94864280009642,67.94864280009642,67.94864280009642,67.9984547002241,67.9984547002241,67.9984547002241,67.9984547002241,67.9984547002241,67.9984547002241,67.9984547002241,67.9984547002241,67.9984547002241,left,0.46894320007413626,68.49900730000809,68.49900730000809,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
35.3,45,1,-1,0,13,13,96,68.49900730000809,68.49900730000809,68.99959489982575,69.06622860021889,69.11653200024739,69.11653200024739,69.11653200024739,69.11653200024739,69.16639389982447,69.16639389982447,69.16639389982447,69.16639389982447,69.16639389982447,69.16639389982447,69.16639389982447,69.16639389982447,69.16639389982447,right,0.5407735002227128,69.73335380014032,69.73335380014032,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
25.5,315,-1,0,0,14,14,13,69.73335380014032,69.73335380014032,70.23413500003517,70.30070760007948,70.35106479981914,70.35106479981914,70.35106479981914,70.35106479981914,70.40074450010434,70.40074450010434,70.40074450010434,70.40074450010434,70.40074450010434,70.40074450010434,70.40074450010434,70.40074450010434,70.40074450010434,right,0.48227700032293797,70.90107969986275,70.90107969986275,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
25.5,45,-1,-1,0,15,15,76,70.90107969986275,70.90107969986275,71.40197570016608,71.46862060017884,71.51892960024998,71.51892960024998,71.51892960024998,71.51892960024998,71.56856659986079,71.56856659986079,71.56856659986079,71.56856659986079,71.56856659986079,71.56856659986079,71.56856659986079,71.56856659986079,71.56856659986079,left,0.523568999953568,72.11922900006175,72.11922900006175,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
42.7,315,-1,0,0,16,16,17,72.11922900006175,72.11922900006175,72.61983400024474,72.68650009995326,72.7367973998189,72.7367973998189,72.7367973998189,72.7367973998189,72.78638050006703,72.78638050006703,72.78638050006703,72.78638050006703,72.78638050006703,72.78638050006703,72.78638050006703,72.78638050006703,72.78638050006703,right,0.5050043002702296,73.3201108998619,73.3201108998619,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
15.7,45,-1,-1,0,17,17,73,73.3201108998619,73.3201108998619,73.82093260018155,73.88766400003806,73.93791719991714,73.93791719991714,73.93791719991714,73.93791719991714,73.98775919992477,73.98775919992477,73.98775919992477,73.98775919992477,73.98775919992477,73.98775919992477,73.98775919992477,73.98775919992477,73.98775919992477,right,0.5517707001417875,74.57150149997324,74.57150149997324,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
25.5,315,-1,1,0,18,18,49,74.57150149997324,74.57150149997324,75.07219820003957,75.13915150007233,75.18943340005353,75.18943340005353,75.18943340005353,75.18943340005353,75.23915180005133,75.23915180005133,75.23915180005133,75.23915180005133,75.23915180005133,75.23915180005133,75.23915180005133,75.23915180005133,75.23915180005133,right,0.39746049977838993,75.65625280002132,75.65625280002132,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
19.6,45,-1,-1,0,19,19,74,75.65625280002132,75.65625280002132,76.1567667000927,76.22340680006891,76.27348949993029,76.27348949993029,76.27348949993029,76.27348949993029,76.32333240006119,76.32333240006119,76.32333240006119,76.32333240006119,76.32333240006119,76.32333240006119,76.32333240006119,76.32333240006119,76.32333240006119,right,0.6002616002224386,76.94068170012906,76.94068170012906,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
29.4,45,-1,1,0,20,20,41,76.94068170012906,76.94068170012906,77.44122970011085,77.50786289991811,77.55818649986759,77.55818649986759,77.55818649986759,77.55818649986759,77.60804380010813,77.60804380010813,77.60804380010813,77.60804380010813,77.60804380010813,77.60804380010813,77.60804380010813,77.60804380010813,77.60804380010813,right,0.8349449997767806,78.47539940010756,78.47539940010756,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
35.3,45,-1,-1,0,21,21,78,78.47539940010756,78.47539940010756,78.97608380019665,79.0429557999596,79.09322920022532,79.09322920022532,79.09322920022532,79.09322920022532,79.142617800273,79.142617800273,79.142617800273,79.142617800273,79.142617800273,79.142617800273,79.142617800273,79.142617800273,79.142617800273,right,0.7245427002198994,79.8935684999451,79.8935684999451,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
22.7,315,1,-1,0,22,22,102,79.8935684999451,79.8935684999451,80.39418350020424,80.46080220025033,80.51116520026699,80.51116520026699,80.51116520026699,80.51116520026699,80.5608673999086,80.5608673999086,80.5608673999086,80.5608673999086,80.5608673999086,80.5608673999086,80.5608673999086,80.5608673999086,80.5608673999086,right,0.6901734001003206,81.27829209994525,81.27829209994525,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
19.6,45,-1,1,0,23,23,38,81.27829209994525,81.27829209994525,81.77892880002037,81.84566170023754,81.8958625998348,81.8958625998348,81.8958625998348,81.8958625998348,81.94573639985174,81.94573639985174,81.94573639985174,81.94573639985174,81.94573639985174,81.94573639985174,81.94573639985174,81.94573639985174,81.94573639985174,right,0.4986572000198066,82.46288280002773,82.46288280002773,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
19.6,315,-1,0,0,24,24,11,82.46288280002773,82.46288280002773,82.96349869994447,83.03017550008371,83.080442099832,83.080442099832,83.080442099832,83.080442099832,83.13024500012398,83.13024500012398,83.13024500012398,83.13024500012398,83.13024500012398,83.13024500012398,83.13024500012398,83.13024500012398,83.13024500012398,right,0.5217233998700976,83.68062990019098,83.68062990019098,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
42.7,45,-1,1,0,25,25,44,83.68062990019098,83.68062990019098,84.18143460014835,84.24804220022634,84.29832349997014,84.29832349997014,84.29832349997014,84.29832349997014,84.34792259987444,84.34792259987444,84.34792259987444,84.34792259987444,84.34792259987444,84.34792259987444,84.34792259987444,84.34792259987444,84.34792259987444,right,0.5117791001684964,84.8818397000432,84.8818397000432,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
22.7,45,-1,0,0,26,26,3,84.8818397000432,84.8818397000432,85.38219679985195,85.44921500002965,85.49950119992718,85.49950119992718,85.49950119992718,85.49950119992718,85.54916669987142,85.54916669987142,85.54916669987142,85.54916669987142,85.54916669987142,85.54916669987142,85.54916669987142,85.54916669987142,85.54916669987142,right,0.471155300270766,86.0498584001325,86.0498584001325,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
42.7,315,1,-1,0,27,27,107,86.0498584001325,86.0498584001325,86.5503827999346,86.61697060009465,86.66726410016418,86.66726410016418,86.66726410016418,86.66726410016418,86.71695609996095,86.71695609996095,86.71695609996095,86.71695609996095,86.71695609996095,86.71695609996095,86.71695609996095,86.71695609996095,86.71695609996095,right,0.4952254998497665,87.23426519986242,87.23426519986242,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
12.1,315,1,-1,0,28,28,99,87.23426519986242,87.23426519986242,87.734844900202,87.80156120005995,87.8518078001216,87.8518078001216,87.8518078001216,87.8518078001216,87.90166380023584,87.90166380023584,87.90166380023584,87.90166380023584,87.90166380023584,87.90166380023584,87.90166380023584,87.90166380023584,87.90166380023584,left,0.5827525001950562,88.50256429985166,88.50256429985166,None,,2,001,2025-12-16_13h00.36.463,2025C_exp1_comp,2022.2.4,59.77715086618489,
