contrast,ori,side,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left2.started,noise_right2.started,key_resp.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left2.stopped,noise_right2.stopped,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
25.5,315,-1,0,0,0,0,13,18.85361390002072,18.85361390002072,19.333309300011024,19.400050600001123,19.510247900005197,19.510247900005197,19.510247900005197,19.510247900005197,19.513629100023536,19.513629100023536,19.513629100023536,left,3.718257899978198,23.253343800024595,23.253343800024595,None,,,,,,,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
15.7,45,-1,1,0,1,1,37,23.253343800024595,23.253343800024595,23.75423310001497,23.82080680000945,23.871108500025002,23.871108500025002,23.871108500025002,23.871108500025002,23.92097950002062,23.92097950002062,23.92097950002062,right,1.4221674999862444,25.372452000010526,25.372452000010526,None,23.92097950002062,23.92097950002062,23.92097950002062,23.92097950002062,23.92097950002062,23.92097950002062,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
12.1,45,-1,-1,0,2,2,72,25.372452000010526,25.372452000010526,25.873067000007723,25.939753500017105,25.990046800026903,25.990046800026903,25.990046800026903,25.990046800026903,26.039488200010965,26.039488200010965,26.039488200010965,right,0.6729332999966573,26.740444100025343,26.740444100025343,None,26.039488200010965,26.039488200010965,26.039488200010965,26.039488200010965,26.039488200010965,26.039488200010965,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
25.5,315,-1,1,0,3,3,49,26.740444100025343,26.740444100025343,27.241004900017288,27.307722200028365,27.357721000007587,27.357721000007587,27.357721000007587,27.357721000007587,27.407547300012084,27.407547300012084,27.407547300012084,right,1.3526718000066467,28.792334600002505,28.792334600002505,None,27.407547300012084,27.407547300012084,27.407547300012084,27.407547300012084,27.407547300012084,27.407547300012084,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
25.5,45,1,-1,0,4,4,94,28.792334600002505,28.792334600002505,29.29288860000088,29.359662700007902,29.409925300016766,29.409925300016766,29.409925300016766,29.409925300016766,29.459586000011768,29.459586000011768,29.459586000011768,left,0.9322087000182364,30.410737500002142,30.410737500002142,None,29.459586000011768,29.459586000011768,29.459586000011768,29.459586000011768,29.459586000011768,29.459586000011768,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
39.2,45,1,-1,0,5,5,97,30.410737500002142,30.410737500002142,30.911183200019877,30.97799950002809,31.028329900000244,31.028329900000244,31.028329900000244,31.028329900000244,31.077994700026466,31.077994700026466,31.077994700026466,right,1.4022354999906383,32.496337800024776,32.496337800024776,None,31.077994700026466,31.077994700026466,31.077994700026466,31.077994700026466,31.077994700026466,31.077994700026466,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
12.1,315,1,0,0,6,6,27,32.496337800024776,32.496337800024776,32.99670130002778,33.063440900004935,33.113728400028776,33.113728400028776,33.113728400028776,33.113728400028776,33.16342430000077,33.16342430000077,33.16342430000077,left,0.5808237999735866,33.76417570002377,33.76417570002377,None,33.16342430000077,33.16342430000077,33.16342430000077,33.16342430000077,33.16342430000077,33.16342430000077,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
39.2,315,-1,1,0,7,7,52,33.76417570002377,33.76417570002377,34.264695000019856,34.33138610000606,34.38168090002728,34.38168090002728,34.38168090002728,34.38168090002728,34.431520100013586,34.431520100013586,34.431520100013586,right,1.0159454999957234,35.465704600006575,35.465704600006575,None,34.431520100013586,34.431520100013586,34.431520100013586,34.431520100013586,34.431520100013586,34.431520100013586,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
39.2,315,1,-1,0,8,8,106,35.465704600006575,35.465704600006575,35.966529300028924,36.03322010001284,36.08352040001773,36.08352040001773,36.08352040001773,36.08352040001773,36.13329630001681,36.13329630001681,36.13329630001681,right,0.6660363999835681,36.817157400015276,36.817157400015276,None,36.13329630001681,36.13329630001681,36.13329630001681,36.13329630001681,36.13329630001681,36.13329630001681,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,315,1,-1,0,9,9,104,36.817157400015276,36.817157400015276,37.31775120002567,37.38433610001812,37.43473270002869,37.43473270002869,37.43473270002869,37.43473270002869,37.48451930002193,37.48451930002193,37.48451930002193,left,1.3471889999927953,38.85251050000079,38.85251050000079,None,37.48451930002193,37.48451930002193,37.48451930002193,37.48451930002193,37.48451930002193,37.48451930002193,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
25.5,45,1,0,0,10,10,22,38.85251050000079,38.85251050000079,39.353070400014985,39.41980450000847,39.47011910000583,39.47011910000583,39.47011910000583,39.47011910000583,39.5197861000197,39.5197861000197,39.5197861000197,right,1.7603899000096135,41.3048474000243,41.3048474000243,None,39.5197861000197,39.5197861000197,39.5197861000197,39.5197861000197,39.5197861000197,39.5197861000197,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,45,1,-1,0,11,11,95,41.3048474000243,41.3048474000243,41.80524580000201,41.872475700016366,41.922741700022016,41.922741700022016,41.922741700022016,41.922741700022016,41.97235150000779,41.97235150000779,41.97235150000779,left,0.8353260000003502,42.839767700002994,42.839767700002994,None,41.97235150000779,41.97235150000779,41.97235150000779,41.97235150000779,41.97235150000779,41.97235150000779,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
22.7,45,-1,1,0,12,12,39,42.839767700002994,42.839767700002994,43.340424200025154,43.40714090000256,43.457455300027505,43.457455300027505,43.457455300027505,43.457455300027505,43.50712140000542,43.50712140000542,43.50712140000542,right,0.7490859999961685,44.27461230001063,44.27461230001063,None,43.50712140000542,43.50712140000542,43.50712140000542,43.50712140000542,43.50712140000542,43.50712140000542,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
39.2,45,-1,-1,0,13,13,79,44.27461230001063,44.27461230001063,44.77501770001254,44.84155190002639,44.89225600002101,44.89225600002101,44.89225600002101,44.89225600002101,44.94197850002092,44.94197850002092,44.94197850002092,left,1.1697234000021126,46.142848200019216,46.142848200019216,None,44.94197850002092,44.94197850002092,44.94197850002092,44.94197850002092,44.94197850002092,44.94197850002092,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
22.7,45,-1,0,0,14,14,3,46.142848200019216,46.142848200019216,46.643564000027254,46.71021320001455,46.76068370000576,46.76068370000576,46.76068370000576,46.76068370000576,46.81049800000619,46.81049800000619,46.81049800000619,right,0.7580792999942787,47.59461350002675,47.59461350002675,None,46.81049800000619,46.81049800000619,46.81049800000619,46.81049800000619,46.81049800000619,46.81049800000619,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
15.7,45,-1,-1,0,15,15,73,47.59461350002675,47.59461350002675,48.09514150000177,48.161805600015214,48.211874800006626,48.211874800006626,48.211874800006626,48.211874800006626,48.2616383000277,48.2616383000277,48.2616383000277,right,2.578777699993225,50.864570600009756,50.864570600009756,None,48.2616383000277,48.2616383000277,48.2616383000277,48.2616383000277,48.2616383000277,48.2616383000277,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
42.7,315,1,-1,0,16,16,107,50.864570600009756,50.864570600009756,51.36502670001937,51.431760900013614,51.48251730002812,51.48251730002812,51.48251730002812,51.48251730002812,51.531920400011586,51.531920400011586,51.531920400011586,left,0.9712822000146843,52.532926800020505,52.532926800020505,None,51.531920400011586,51.531920400011586,51.531920400011586,51.531920400011586,51.531920400011586,51.531920400011586,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
19.6,315,1,1,0,17,17,65,52.532926800020505,52.532926800020505,53.0330717000179,53.0997804000217,53.15007600001991,53.15007600001991,53.15007600001991,53.15007600001991,53.19987820001552,53.19987820001552,53.19987820001552,left,0.5765219000168145,53.80089970002882,53.80089970002882,None,53.19987820001552,53.19987820001552,53.19987820001552,53.19987820001552,53.19987820001552,53.19987820001552,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
