contrast,ori,side,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left2.started,noise_right2.started,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left2.stopped,noise_right2.stopped,key_resp.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
12.1,315,-1,-1,0,0,0,81,36.135194199999205,36.135194199999205,36.612710599999446,36.6794562999994,36.742708999999195,36.742708999999195,36.742708999999195,36.742708999999195,36.77955219999967,36.77955219999967,36.77955219999967,36.77955219999967,36.77955219999967,36.77955219999967,36.79625549999946,36.79625549999946,36.79625549999946,right,6.366979299999912,43.186021999999866,43.186021999999866,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
42.7,315,1,0,0,1,1,35,43.186021999999866,43.186021999999866,43.686460899999474,43.75325799999973,43.80357019999974,43.80357019999974,43.80357019999974,43.80357019999974,43.853260599999885,43.853260599999885,43.853260599999885,43.853260599999885,43.853260599999885,43.853260599999885,43.853260599999885,43.853260599999885,43.853260599999885,right,1.5015082999998413,45.37204939999992,45.37204939999992,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
12.1,315,-1,0,0,2,2,9,45.37204939999992,45.37204939999992,45.87193849999949,45.93869629999972,45.988963999999214,45.988963999999214,45.988963999999214,45.988963999999214,46.03889309999977,46.03889309999977,46.03889309999977,46.03889309999977,46.03889309999977,46.03889309999977,46.03889309999977,46.03889309999977,46.03889309999977,right,0.9474471000003177,47.00656859999981,47.00656859999981,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
35.3,45,-1,0,0,3,3,6,47.00656859999981,47.00656859999981,47.50693069999943,47.57378249999965,47.62420889999976,47.62420889999976,47.62420889999976,47.62420889999976,47.6743577999996,47.6743577999996,47.6743577999996,47.6743577999996,47.6743577999996,47.6743577999996,47.6743577999996,47.6743577999996,47.6743577999996,left,0.6001288000006753,48.2912495999999,48.2912495999999,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
35.3,45,1,-1,0,4,4,96,48.2912495999999,48.2912495999999,48.791807399999925,48.8582964999996,48.9084157999996,48.9084157999996,48.9084157999996,48.9084157999996,48.95847659999981,48.95847659999981,48.95847659999981,48.95847659999981,48.95847659999981,48.95847659999981,48.95847659999981,48.95847659999981,48.95847659999981,left,54.908750799999325,103.89672989999963,103.89672989999963,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
42.7,315,-1,-1,0,5,5,89,103.89672989999963,103.89672989999963,104.39720249999937,104.46403889999965,104.51407789999939,104.51407789999939,104.51407789999939,104.51407789999939,104.56392229999983,104.56392229999983,104.56392229999983,104.56392229999983,104.56392229999983,104.56392229999983,104.56392229999983,104.56392229999983,104.56392229999983,right,1.0470941000003222,105.63167329999942,105.63167329999942,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
29.4,45,1,0,0,6,6,23,105.63167329999942,105.63167329999942,106.13221009999961,106.19890869999927,106.24921059999997,106.24921059999997,106.24921059999997,106.24921059999997,106.29953969999951,106.29953969999951,106.29953969999951,106.29953969999951,106.29953969999951,106.29953969999951,106.29953969999951,106.29953969999951,106.29953969999951,right,1.015298299999813,107.3334290999992,107.3334290999992,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
22.7,315,1,1,0,7,7,66,107.3334290999992,107.3334290999992,107.83401019999928,107.90060379999977,107.95092149999982,107.95092149999982,107.95092149999982,107.95092149999982,108.0007741999998,108.0007741999998,108.0007741999998,108.0007741999998,108.0007741999998,108.0007741999998,108.0007741999998,108.0007741999998,108.0007741999998,left,1.4822229000001244,109.50223939999978,109.50223939999978,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
39.2,315,-1,0,0,8,8,16,109.50223939999978,109.50223939999978,110.00270209999962,110.0694442999993,110.11974649999956,110.11974649999956,110.11974649999956,110.11974649999956,110.16967079999995,110.16967079999995,110.16967079999995,110.16967079999995,110.16967079999995,110.16967079999995,110.16967079999995,110.16967079999995,110.16967079999995,right,0.7695981999995638,110.97044099999948,110.97044099999948,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
39.2,315,1,0,0,9,9,34,110.97044099999948,110.97044099999948,111.47083289999955,111.53769929999999,111.58807919999981,111.58807919999981,111.58807919999981,111.58807919999981,111.63765479999984,111.63765479999984,111.63765479999984,111.63765479999984,111.63765479999984,111.63765479999984,111.63765479999984,111.63765479999984,111.63765479999984,left,0.7973469999997178,112.45516939999925,112.45516939999925,None,,6,001,2025-12-17_13h08.42.043,2025C_exp1_comp,2022.2.4,59.925273184112505,
